No.,Record ID,Skip,Initial,P[mmHg],T[℃],N[Hz]
1,1,N,Y,760.6,20.9,200.3 
2,2,N,N,760.6,20.9,200.3 
3,3,N,N,760.6,20.9,200.3 
4,4,N,N,760.6,20.9,200.3 
5,5,N,N,760.6,20.9,200.3 
6,6,N,N,760.6,20.9,200.3 
7,7,N,N,760.6,20.9,200.3 
8,8,N,N,760.6,20.9,200.3 
9,9,N,N,760.6,20.9,200.3 
10,10,N,N,760.6,20.9,200.3 
11,11,Y,N,760.6,20.9,200.3 
12,12,N,N,760.6,20.9,200.3 
13,13,N,N,760.6,20.9,200.3 
14,14,N,N,760.6,20.9,200.3 
15,15,N,N,760.6,20.9,200.3 
16,16,N,N,760.6,20.9,200.3 
17,17,N,N,760.6,20.9,200.3 
18,18,N,N,760.6,20.9,200.3 
19,19,N,N,760.6,20.9,200.3 
20,20,N,N,760.6,20.9,200.3 
21,21,N,N,760.6,20.9,200.3 
22,22,N,N,760.6,20.9,200.3 
23,23,N,Y,759.8,23.2,201.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
,,,,,,193.1 
